DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Nascut Espanya,Data naixement,Edat,Increment,Salari nuevo
16928694K,Inês,Ferreira Silva,Portugal,Lisboa,25,2,1953,Dona,1144,No,Grup B,Inês Ferreira Silva,False,1953-02-25,72,0.035,1184.04
59157262R,Khadija,Bennani Bennani,Marroc,Rabat,20,1,1995,Dona,1944,No,Grup B,Khadija Bennani Bennani,False,1995-01-20,31,0.035,2012.0399999999997
74222289K,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1438,No,Grup B,Toni Castells Romero,True,1961-04-13,64,0.035,1488.33
22021087Z,Núria,García López,Espanya,Madrid,8,6,1969,Dona,1374,No,Grup B,Núria García López,True,1969-06-08,56,0.035,1422.09
29801291B,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2102,Si,Grup B,Toni Castells Martínez,True,1981-01-10,45,0.035,2175.5699999999997
83874145K,Chloé,Lefevre,França,Marsella,10,9,1973,Dona,1901,Si,Grup B,Chloé Lefevre,False,1973-09-10,52,0.035,1967.5349999999999
17029292R,Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2027,Si,Grup B,Marc Romero Martínez,True,1993-07-04,32,0.035,2097.9449999999997
59690898N,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1498,Si,Grup B,Oriol López Ferrer,True,1969-11-03,56,0.035,1550.4299999999998
60170471X,Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Altres,2129,No,Grup B,Toni Martínez Castells,True,1952-04-20,73,0.035,2203.515
37846341L,Isla,Jones,Regne Unit,Manchester,26,6,1985,Dona,1412,Si,Grup B,Isla Jones,False,1985-06-26,40,0.035,1461.4199999999998
33445957H,Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Dona,1421,No,Grup B,Eva Ferrer Martínez,True,1960-05-04,65,0.035,1470.735
96482330F,Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1550,Si,Grup B,Marc Ferrer Ferrer,True,1974-03-20,51,0.035,1604.2499999999998
90731738C,Pau,Martínez,Espanya,Madrid,17,8,1999,Home,1971,No,Grup B,Pau Martínez,True,1999-08-17,26,0.035,2039.985
45888164B,Giulia,Conti,Itàlia,Roma,8,7,1998,Dona,1968,Si,Grup B,Giulia Conti,False,1998-07-08,27,0.035,2036.8799999999999
89187959Z,Anna,Sánchez,Espanya,Sevilla,21,10,1955,Dona,1304,No,Grup B,Anna Sánchez,True,1955-10-21,70,0.035,1349.6399999999999
17851044J,Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1319,Si,Grup B,Pau Ferrer,True,1957-04-25,68,0.035,1365.165
16587202X,Eva,López,Espanya,Bilbao,16,12,1974,Dona,1963,No,Grup B,Eva López,True,1974-12-16,51,0.035,2031.705
43485739Q,Andrés,González,Mèxic,Guadalajara,26,2,1992,Home,2279,Si,Grup B,Andrés González,False,1992-02-26,33,0.035,2358.765
32384138R,Clara,Sánchez López,Espanya,València,27,7,1955,Dona,2013,Si,Grup B,Clara Sánchez López,True,1955-07-27,70,0.035,2083.455
27772301M,Anna,Castells Romero,Espanya,València,25,8,1978,Dona,1672,No,Grup B,Anna Castells Romero,True,1978-08-25,47,0.035,1730.5199999999998
44988676P,Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1887,No,Grup B,Eva Sánchez,True,1977-01-10,49,0.035,1953.0449999999998
58904747N,Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1521,No,Grup B,Joan Ferrer,True,1994-11-13,31,0.035,1574.235
63852668M,Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Dona,1452,No,Grup B,Anna Sánchez García,True,1993-07-13,32,0.035,1502.82
57230838V,Khadija,Fassi,Marroc,Rabat,10,5,1970,Dona,1422,No,Grup B,Khadija Fassi,False,1970-05-10,55,0.035,1471.77
23876940J,Marta,Romero,Espanya,València,25,11,2002,Dona,1258,No,Grup B,Marta Romero,True,2002-11-25,23,0.035,1302.03
45581974X,Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1352,Si,Grup B,Núria Romero,True,1993-10-26,32,0.035,1399.32
91110497A,Arnau,García,Espanya,València,2,1,1954,Home,2126,No,Grup B,Arnau García,True,1954-01-02,72,0.035,2200.41
90181637T,Núria,López,Espanya,Bilbao,1,1,1973,Dona,1667,Si,Grup B,Núria López,True,1973-01-01,53,0.035,1725.3449999999998
82953871E,Toni,Castells,Espanya,València,1,4,1963,Home,1764,Si,Grup B,Toni Castells,True,1963-04-01,62,0.035,1825.7399999999998
57340670Z,Gabriela,González,Mèxic,Ciutat de Mèxic,17,6,1955,Dona,1612,Si,Grup B,Gabriela González,False,1955-06-17,70,0.035,1668.4199999999998
