DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Nascut Espanya,Data naixement,Edat,Increment,Salari nuevo
96880751H,Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,null,2007,No,Grup C,Marta Martínez Martínez,True,1995-08-23,30,0.02,2047.14
87645157V,Joan,López,Espanya,Sevilla,13,10,1964,Home,2605,Si,Grup C,Joan López,True,1964-10-13,61,0.02,2657.1
23837247D,Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Home,2249,No,Grup C,Miguel Oliveira Pereira,False,1978-09-19,47,0.02,2293.98
24894099R,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2584,Si,Grup C,Tomás Rodríguez Fernández,False,1986-04-20,39,0.02,2635.68
52684613F,Núria,Castells,Espanya,Bilbao,14,11,1960,null,2800,Si,Grup C,Núria Castells,True,1960-11-14,65,0.02,2856.0
13327616P,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2481,No,Grup C,Tomás Fernández Álvarez,False,1958-09-08,67,0.02,2530.62
32306507M,Laia,López,Espanya,Madrid,11,7,1964,null,2063,Si,Grup C,Laia López,True,1964-07-11,61,0.02,2104.26
69153285Z,Pau,Sánchez,Espanya,Madrid,8,10,2001,Home,2091,No,Grup C,Pau Sánchez,True,2001-10-08,24,0.02,2132.82
61151031X,Toni,Martínez,Espanya,València,12,9,1992,Home,2549,Si,Grup C,Toni Martínez,True,1992-09-12,33,0.02,2599.98
53037156T,José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Home,1929,No,Grup C,José Ramírez Hernández,False,1966-06-11,59,0.02,1967.58
39421964W,Marta,Ferrer López,Espanya,Sevilla,19,7,1969,null,2423,No,Grup C,Marta Ferrer López,True,1969-07-19,56,0.02,2471.46
41282325G,Marc,García,Espanya,Madrid,19,10,1955,Home,2176,Si,Grup C,Marc García,True,1955-10-19,70,0.02,2219.52
90370999E,Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Home,1987,No,Grup C,Marc Sánchez López,True,1990-08-06,35,0.02,2026.74
82284855A,Pau,Romero Romero,Espanya,Madrid,6,12,1988,Home,2722,No,Grup C,Pau Romero Romero,True,1988-12-06,37,0.02,2776.44
30477300W,Sophie,Brown,Regne Unit,Londres,12,5,1956,Dona,1532,No,Grup C,Sophie Brown,False,1956-05-12,69,0.02,1562.64
35957209T,Pau,López Martínez,Espanya,València,1,1,1988,Home,2805,No,Grup C,Pau López Martínez,True,1988-01-01,38,0.02,2861.1
80887497Q,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2639,No,Grup C,Toni Ferrer,True,1985-04-12,40,0.02,2691.78
85738042R,Toni,García,Espanya,Bilbao,28,10,1998,Home,2714,Si,Grup C,Toni García,True,1998-10-28,27,0.02,2768.28
98761038G,Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Altres,2460,Si,Grup C,Olivia Jones Brown,False,1965-01-20,61,0.02,2509.2
60585845J,Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Home,2157,No,Grup C,Arnau Castells Castells,True,1963-11-07,62,0.02,2200.14
98253101W,Arnau,Romero,Espanya,Madrid,26,6,1985,Home,2736,No,Grup C,Arnau Romero,True,1985-06-26,40,0.02,2790.7200000000003
22972474K,Marta,Romero,Espanya,València,3,12,1958,Dona,1532,No,Grup C,Marta Romero,True,1958-12-03,67,0.02,1562.64
58619725P,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2597,Si,Grup C,Valentina Castro,False,1951-09-02,74,0.02,2648.94
25710763B,Eva,Castells García,Espanya,Bilbao,18,3,1993,Dona,2628,No,Grup C,Eva Castells García,True,1993-03-18,32,0.02,2680.56
76564295Y,Clara,Romero,Espanya,Madrid,5,12,1986,Dona,2543,No,Grup C,Clara Romero,True,1986-12-05,39,0.02,2593.86
32044922L,Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2356,No,Grup C,Gabriela Ramírez González,False,1980-05-07,45,0.02,2403.12
12499600L,Pau,Ferrer López,Espanya,Bilbao,22,11,1960,Home,2570,Si,Grup C,Pau Ferrer López,True,1960-11-22,65,0.02,2621.4
13453262F,Clara,Martínez,Espanya,Sevilla,4,7,2001,Dona,2526,Si,Grup C,Clara Martínez,True,2001-07-04,24,0.02,2576.52
96105165A,Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2452,Si,Grup C,Marta Martínez Castells,True,1977-07-16,48,0.02,2501.04
85141625T,Clara,Ferrer,Espanya,Sevilla,21,12,1999,Altres,2393,Si,Grup C,Clara Ferrer,True,1999-12-21,26,0.02,2440.86
46969469J,Marc,Romero Romero,Espanya,Bilbao,8,8,1959,Home,2180,Si,Grup C,Marc Romero Romero,True,1959-08-08,66,0.02,2223.6
86767469V,Eva,García Martínez,Espanya,Madrid,10,7,1965,Dona,1994,Si,Grup C,Eva García Martínez,True,1965-07-10,60,0.02,2033.88
33077646V,Eva,Martínez,Espanya,Sevilla,18,3,1986,Dona,1800,No,Grup C,Eva Martínez,True,1986-03-18,39,0.02,1836.0
56070621Z,Marc,Castells,Espanya,Madrid,28,11,1976,Home,2217,No,Grup C,Marc Castells,True,1976-11-28,49,0.02,2261.34
42831725E,Arnau,Sánchez,Espanya,Sevilla,13,11,1967,Home,2069,No,Grup C,Arnau Sánchez,True,1967-11-13,58,0.02,2110.38
43764388P,Clara,Castells Castells,Espanya,València,15,8,1962,Dona,2326,Si,Grup C,Clara Castells Castells,True,1962-08-15,63,0.02,2372.52
59715366K,Oriol,Romero Sánchez,Espanya,Bilbao,6,2,1997,Home,2788,Si,Grup C,Oriol Romero Sánchez,True,1997-02-06,28,0.02,2843.76
73661586C,Carla,Ferrer,Espanya,Sevilla,11,9,1955,Dona,2060,Si,Grup C,Carla Ferrer,True,1955-09-11,70,0.02,2101.2
78532778V,Élise,Lefevre,França,París,7,11,1972,Dona,1696,Si,Grup C,Élise Lefevre,False,1972-11-07,53,0.02,1729.92
93040786Z,Élise,Dubois,França,Lió,4,12,1950,Dona,1870,No,Grup C,Élise Dubois,False,1950-12-04,75,0.02,1907.4
93244065C,Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2547,Si,Grup C,Jordi García Romero,True,1952-05-28,73,0.02,2597.94
25654945Y,Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2397,No,Grup C,Andrés Rojas Castro,False,1974-09-20,51,0.02,2444.94
65882859J,Arnau,Martínez,Espanya,Sevilla,3,6,1962,Home,1844,Si,Grup C,Arnau Martínez,True,1962-06-03,63,0.02,1880.88
98830242H,Carla,Sánchez,Espanya,Sevilla,2,1,1952,Dona,1786,No,Grup C,Carla Sánchez,True,1952-01-02,74,0.02,1821.72
37195438N,Carla,Romero,Espanya,Madrid,8,11,1991,Dona,2517,Si,Grup C,Carla Romero,True,1991-11-08,34,0.02,2567.34
26427399L,Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2208,No,Grup C,Pau Castells,True,1986-01-22,40,0.02,2252.16
53518484J,Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2725,No,Grup C,Joan Martínez,True,1999-09-14,26,0.02,2779.5
82052269P,Eva,Romero Romero,Espanya,Sevilla,26,2,1954,Dona,1732,No,Grup C,Eva Romero Romero,True,1954-02-26,71,0.02,1766.64
17966918Y,Arnau,Ferrer Sánchez,Espanya,Madrid,17,7,1964,Home,2311,No,Grup C,Arnau Ferrer Sánchez,True,1964-07-17,61,0.02,2357.2200000000003
75892043S,Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2656,Si,Grup C,Sara Gutiérrez,False,1954-06-12,71,0.02,2709.12
89805468T,Marc,García Ferrer,Espanya,València,21,5,1968,Home,2143,Si,Grup C,Marc García Ferrer,True,1968-05-21,57,0.02,2185.86
67320503B,Toni,López,Espanya,Bilbao,26,1,1998,Home,1862,No,Grup C,Toni López,True,1998-01-26,28,0.02,1899.24
27295557B,Laia,García García,Espanya,Madrid,8,12,1972,Dona,2225,Si,Grup C,Laia García García,True,1972-12-08,53,0.02,2269.5
59487847J,Carla,Sánchez Romero,Espanya,València,17,10,1959,Dona,2405,Si,Grup C,Carla Sánchez Romero,True,1959-10-17,66,0.02,2453.1
83274277X,Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2464,No,Grup C,Anna Müller,False,1987-01-01,39,0.02,2513.28
59909991M,Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1939,No,Grup C,Núria Martínez,True,1981-06-19,44,0.02,1977.78
55213721K,Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2789,No,Grup C,Joan López Ferrer,True,1951-06-21,74,0.02,2844.78
17523109M,Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2642,No,Grup C,Daniel Gutiérrez Castro,False,1951-07-08,74,0.02,2694.84
58817861M,Isla,Brown Jones,Regne Unit,Londres,5,3,1954,Altres,2280,Si,Grup C,Isla Brown Jones,False,1954-03-05,71,0.02,2325.6
60161784X,Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,null,2035,Si,Grup C,Laura Schmidt Müller,False,1987-06-15,38,0.02,2075.7
34121407E,Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1690,Si,Grup C,Arnau López Sánchez,True,1951-05-22,74,0.02,1723.8
66268793B,Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2780,Si,Grup C,Oriol Castells,True,1950-07-08,75,0.02,2835.6
18736805D,Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1761,No,Grup C,Laia Romero,True,1962-04-17,63,0.02,1796.22
28923859R,Eva,Sánchez Castells,Espanya,Bilbao,23,9,1987,Dona,2616,Si,Grup C,Eva Sánchez Castells,True,1987-09-23,38,0.02,2668.32
35978728B,Jordi,García García,Espanya,València,18,6,1967,Home,2391,Si,Grup C,Jordi García García,True,1967-06-18,58,0.02,2438.82
59804478P,Núria,Martínez Ferrer,Espanya,Bilbao,27,3,1965,Dona,2293,No,Grup C,Núria Martínez Ferrer,True,1965-03-27,60,0.02,2338.86
52501105S,Marc,Castells,Espanya,Bilbao,11,9,1984,Home,1844,No,Grup C,Marc Castells,True,1984-09-11,41,0.02,1880.88
75949005H,María,Cruz,Mèxic,Guadalajara,27,1,1963,Dona,2413,No,Grup C,María Cruz,False,1963-01-27,63,0.02,2461.26
72374089J,Joan,Martínez Romero,Espanya,Sevilla,20,4,1994,null,1835,No,Grup C,Joan Martínez Romero,True,1994-04-20,31,0.02,1871.7
30932082P,Marta,López,Espanya,Bilbao,2,9,1954,Altres,1922,Si,Grup C,Marta López,True,1954-09-02,71,0.02,1960.44
82680101W,Marc,Romero Ferrer,Espanya,València,22,9,1993,Home,1743,Si,Grup C,Marc Romero Ferrer,True,1993-09-22,32,0.02,1777.8600000000001
53071392K,Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2019,Si,Grup C,Oriol Martínez,True,2002-07-09,23,0.02,2059.38
58004635G,Marc,Martínez Sánchez,Espanya,Bilbao,21,12,1965,Home,2247,Si,Grup C,Marc Martínez Sánchez,True,1965-12-21,60,0.02,2291.94
84495908R,Toni,Sánchez Romero,Espanya,Bilbao,18,12,1952,Home,2034,No,Grup C,Toni Sánchez Romero,True,1952-12-18,73,0.02,2074.68
41260739H,Anna,Ferrer,Espanya,Sevilla,25,5,2000,Dona,2164,No,Grup C,Anna Ferrer,True,2000-05-25,25,0.02,2207.28
35577350W,Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1685,Si,Grup C,Juan Gómez Gómez,False,1994-10-09,31,0.02,1718.7
44346665J,Laia,Romero Martínez,Espanya,València,18,7,1963,Altres,2049,No,Grup C,Laia Romero Martínez,True,1963-07-18,62,0.02,2089.98
76029605D,Carla,Ferrer García,Espanya,València,25,2,1970,Dona,2514,No,Grup C,Carla Ferrer García,True,1970-02-25,55,0.02,2564.28
15664344B,Pau,García,Espanya,València,1,3,2000,Home,2390,No,Grup C,Pau García,True,2000-03-01,25,0.02,2437.8
49180523M,Oriol,López Martínez,Espanya,Madrid,17,3,1978,Home,2283,Si,Grup C,Oriol López Martínez,True,1978-03-17,47,0.02,2328.66
96612764F,Isla,Smith Brown,Regne Unit,Londres,24,9,1991,Dona,2169,Si,Grup C,Isla Smith Brown,False,1991-09-24,34,0.02,2212.38
15895974X,Núria,Ferrer,Espanya,Barcelona,10,4,1957,Dona,2366,No,Grup C,Núria Ferrer,True,1957-04-10,68,0.02,2413.32
54990944C,Laia,Sánchez Romero,Espanya,Bilbao,4,12,1960,Dona,2060,Si,Grup C,Laia Sánchez Romero,True,1960-12-04,65,0.02,2101.2
18647358J,Maria,Silva,Portugal,Porto,14,12,1991,Altres,2458,No,Grup C,Maria Silva,False,1991-12-14,34,0.02,2507.16
80122915D,Jordi,Romero García,Espanya,Bilbao,5,12,1978,Home,1948,Si,Grup C,Jordi Romero García,True,1978-12-05,47,0.02,1986.96
68222849D,Marta,López,Espanya,València,4,11,1971,Dona,2351,Si,Grup C,Marta López,True,1971-11-04,54,0.02,2398.02
29661736H,Marta,López,Espanya,Madrid,16,7,2001,Dona,1963,Si,Grup C,Marta López,True,2001-07-16,24,0.02,2002.26
11962486C,Oriol,Sánchez,Espanya,Sevilla,27,2,1958,Home,2539,No,Grup C,Oriol Sánchez,True,1958-02-27,67,0.02,2589.78
63666276G,Joan,Romero,Espanya,Sevilla,10,11,1952,Home,1904,No,Grup C,Joan Romero,True,1952-11-10,73,0.02,1942.08
80745485X,Pau,Sánchez Martínez,Espanya,Madrid,2,3,1981,Home,2510,Si,Grup C,Pau Sánchez Martínez,True,1981-03-02,44,0.02,2560.2
81908160Z,Toni,Martínez,Espanya,València,13,7,1978,Home,1928,Si,Grup C,Toni Martínez,True,1978-07-13,47,0.02,1966.56
22768293W,Jordi,López,Espanya,Madrid,27,4,1996,Home,2843,Si,Grup C,Jordi López,True,1996-04-27,29,0.02,2899.86
36744704Y,Carla,López López,Espanya,València,9,10,1970,Dona,2201,No,Grup C,Carla López López,True,1970-10-09,55,0.02,2245.02
75528612H,Núria,Martínez Sánchez,Espanya,Barcelona,23,7,1999,Dona,2185,Si,Grup C,Núria Martínez Sánchez,True,1999-07-23,26,0.02,2228.7
65854367Q,Toni,López García,Espanya,Bilbao,23,2,1976,Home,2485,No,Grup C,Toni López García,True,1976-02-23,49,0.02,2534.7
47126739B,Carla,Ferrer,Espanya,Barcelona,17,12,1963,Dona,1928,Si,Grup C,Carla Ferrer,True,1963-12-17,62,0.02,1966.56
29356893J,Jordi,García,Espanya,Sevilla,13,6,1987,Home,2730,Si,Grup C,Jordi García,True,1987-06-13,38,0.02,2784.6
76315436N,Joan,Martínez,Espanya,Sevilla,26,5,1976,Home,2817,No,Grup C,Joan Martínez,True,1976-05-26,49,0.02,2873.34
87416108F,Marta,Martínez Romero,Espanya,Sevilla,7,9,1955,Dona,1962,No,Grup C,Marta Martínez Romero,True,1955-09-07,70,0.02,2001.24
99057187Q,Joan,Ferrer García,Espanya,Bilbao,5,5,1995,Home,2856,Si,Grup C,Joan Ferrer García,True,1995-05-05,30,0.02,2913.12
39025961G,Pau,Sánchez,Espanya,Sevilla,20,10,1953,Home,2765,No,Grup C,Pau Sánchez,True,1953-10-20,72,0.02,2820.3
36305607S,Jordi,Sánchez,Espanya,Barcelona,1,3,1976,Home,1761,No,Grup C,Jordi Sánchez,True,1976-03-01,49,0.02,1796.22
20752389X,Eva,Romero,Espanya,Sevilla,16,11,1964,null,1960,No,Grup C,Eva Romero,True,1964-11-16,61,0.02,1999.2
78312427G,Toni,Romero Ferrer,Espanya,Bilbao,13,12,1970,Home,2346,No,Grup C,Toni Romero Ferrer,True,1970-12-13,55,0.02,2392.92
62062006Z,Jordi,Romero,Espanya,València,1,1,1973,Home,2306,No,Grup C,Jordi Romero,True,1973-01-01,53,0.02,2352.12
56029646T,Camille,Girard Lefevre,França,Marsella,7,12,2003,Dona,2447,Si,Grup C,Camille Girard Lefevre,False,2003-12-07,22,0.02,2495.94
90082879P,Jordi,Martínez Sánchez,Espanya,Barcelona,12,12,1970,Home,2662,Si,Grup C,Jordi Martínez Sánchez,True,1970-12-12,55,0.02,2715.2400000000002
59664001Z,Arnau,Martínez López,Espanya,Barcelona,5,9,1979,Home,2294,No,Grup C,Arnau Martínez López,True,1979-09-05,46,0.02,2339.88
25380605S,Luisa,Ramírez,Mèxic,Guadalajara,8,6,1984,Dona,1860,No,Grup C,Luisa Ramírez,False,1984-06-08,41,0.02,1897.2
43195593E,Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2030,Si,Grup C,Daniela Castro,False,1954-02-05,72,0.02,2070.6
45323039E,Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2685,No,Grup C,Andrés Gutiérrez Rojas,False,1986-03-18,39,0.02,2738.7000000000003
63445794B,Oriol,Romero Romero,Espanya,Sevilla,11,7,1964,Altres,1950,No,Grup C,Oriol Romero Romero,True,1964-07-11,61,0.02,1989.0
92210964M,Camila,Hernández,Mèxic,Guadalajara,26,9,1978,Dona,2295,Si,Grup C,Camila Hernández,False,1978-09-26,47,0.02,2340.9
66120457F,Núria,Sánchez Romero,Espanya,Sevilla,9,1,1974,Dona,1901,No,Grup C,Núria Sánchez Romero,True,1974-01-09,52,0.02,1939.02
19304110P,Arnau,García Romero,Espanya,Madrid,13,12,1970,Home,2316,No,Grup C,Arnau García Romero,True,1970-12-13,55,0.02,2362.32
55178117L,Marc,García Castells,Espanya,València,20,12,1983,Home,2912,Si,Grup C,Marc García Castells,True,1983-12-20,42,0.02,2970.2400000000002
23895788L,Marc,Castells,Espanya,Madrid,3,8,1978,Home,1744,No,Grup C,Marc Castells,True,1978-08-03,47,0.02,1778.88
95216936L,Jordi,Castells,Espanya,Sevilla,14,12,1986,Altres,2259,Si,Grup C,Jordi Castells,True,1986-12-14,39,0.02,2304.18
80698214F,Joan,Romero,Espanya,Barcelona,8,1,1985,Home,2390,No,Grup C,Joan Romero,True,1985-01-08,41,0.02,2437.8
96250825S,Jordi,Castells López,Espanya,Bilbao,12,2,1961,Home,2360,Si,Grup C,Jordi Castells López,True,1961-02-12,64,0.02,2407.2
74953524F,Sophie,Brown,Regne Unit,Londres,17,5,1983,Dona,2189,Si,Grup C,Sophie Brown,False,1983-05-17,42,0.02,2232.78
59717596Z,Camila,Cruz Ramírez,Mèxic,Guadalajara,4,10,1994,Dona,1824,Si,Grup C,Camila Cruz Ramírez,False,1994-10-04,31,0.02,1860.48
37902729B,Joan,Romero García,Espanya,Bilbao,25,1,1954,Home,2016,No,Grup C,Joan Romero García,True,1954-01-25,72,0.02,2056.32
96487370W,Marc,Castells,Espanya,Barcelona,15,6,1952,Home,2607,Si,Grup C,Marc Castells,True,1952-06-15,73,0.02,2659.14
42807414J,Laia,Sánchez,Espanya,València,17,7,1967,Dona,2255,No,Grup C,Laia Sánchez,True,1967-07-17,58,0.02,2300.1
61558898W,Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2443,Si,Grup C,Anna Fischer,False,1985-05-14,40,0.02,2491.86
22381649M,Inês,Silva,Portugal,Lisboa,28,2,1980,Dona,1558,Si,Grup C,Inês Silva,False,1980-02-28,45,0.02,1589.16
93349542M,Marc,Sánchez García,Espanya,Sevilla,4,3,1974,Altres,1611,Si,Grup C,Marc Sánchez García,True,1974-03-04,51,0.02,1643.22
