DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Nascut Espanya,Data naixement,Edat,Increment,Salari nuevo
26930927E,Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Altres,2611,No,Grup D,Laia Castells Ferrer,True,1953-12-16,72,0.08,2819.88
33234964B,Marta,Romero,Espanya,Madrid,10,5,2001,Dona,2810,Si,Grup D,Marta Romero,True,2001-05-10,24,0.08,3034.8
98967015K,Laia,Martínez Sánchez,Espanya,Madrid,14,6,1961,Dona,2596,No,Grup D,Laia Martínez Sánchez,True,1961-06-14,64,0.08,2803.6800000000003
58465525T,Clara,Ferrer,Espanya,Madrid,17,7,1990,Dona,2679,No,Grup D,Clara Ferrer,True,1990-07-17,35,0.08,2893.32
89245220G,Michel,Lefevre,França,París,21,8,1974,Home,2661,No,Grup D,Michel Lefevre,False,1974-08-21,51,0.08,2873.88
32447081S,Marc,Martínez,Espanya,Sevilla,1,8,1977,Home,3040,No,Grup D,Marc Martínez,True,1977-08-01,48,0.08,3283.2000000000003
79911049R,Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2668,Si,Grup D,Lea Schneider,False,1950-09-22,75,0.08,2881.44
31532532F,Laia,Castells,Espanya,Bilbao,19,4,1950,Dona,2448,No,Grup D,Laia Castells,True,1950-04-19,75,0.08,2643.84
17081236L,Eva,Sánchez,Espanya,Madrid,9,9,1992,Dona,2885,Si,Grup D,Eva Sánchez,True,1992-09-09,33,0.08,3115.8
97855153L,Carla,Martínez,Espanya,Madrid,21,3,1973,Dona,2850,No,Grup D,Carla Martínez,True,1973-03-21,52,0.08,3078.0
58847232T,Arnau,Sánchez García,Espanya,València,24,2,1978,Home,3283,No,Grup D,Arnau Sánchez García,True,1978-02-24,47,0.08,3545.6400000000003
58966169Z,Núria,Sánchez Castells,Espanya,Madrid,12,5,1981,null,2742,No,Grup D,Núria Sánchez Castells,True,1981-05-12,44,0.08,2961.36
81229041Z,Carla,López Ferrer,Espanya,Sevilla,4,9,1962,Dona,2861,No,Grup D,Carla López Ferrer,True,1962-09-04,63,0.08,3089.88
99258742G,Amina,Bennani,Marroc,Casablanca,22,10,2004,Dona,2948,Si,Grup D,Amina Bennani,False,2004-10-22,21,0.08,3183.84
33484869X,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2756,No,Grup D,Jordi Sánchez,True,1981-06-06,44,0.08,2976.48
88845881E,Pau,Martínez López,Espanya,Madrid,3,11,2000,Home,2785,Si,Grup D,Pau Martínez López,True,2000-11-03,25,0.08,3007.8
73128127J,Arnau,Castells Sánchez,Espanya,València,17,4,1998,Home,2791,No,Grup D,Arnau Castells Sánchez,True,1998-04-17,27,0.08,3014.28
91487269P,Maria,Silva Oliveira,Portugal,Lisboa,4,9,1993,null,2894,No,Grup D,Maria Silva Oliveira,False,1993-09-04,32,0.08,3125.52
94898766F,Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3175,No,Grup D,Joan Romero,True,1969-04-26,56,0.08,3429.0
87813160D,Arnau,Ferrer,Espanya,València,24,3,1990,Altres,2605,Si,Grup D,Arnau Ferrer,True,1990-03-24,35,0.08,2813.4
81992107P,María,Cruz,Mèxic,Ciutat de Mèxic,14,3,1958,Dona,2653,Si,Grup D,María Cruz,False,1958-03-14,67,0.08,2865.2400000000002
86419307C,Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Dona,2433,Si,Grup D,Eva Castells Romero,True,1988-07-25,37,0.08,2627.6400000000003
94076717B,Marc,López,Espanya,Sevilla,8,2,1987,null,2969,No,Grup D,Marc López,True,1987-02-08,38,0.08,3206.5200000000004
63108914N,Joan,Martínez Sánchez,Espanya,València,18,2,1986,Home,3318,Si,Grup D,Joan Martínez Sánchez,True,1986-02-18,39,0.08,3583.44
19631537S,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,2825,Si,Grup D,Laia Ferrer,True,1987-12-21,38,0.08,3051.0
10624826J,Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Dona,2964,No,Grup D,Laia Sánchez López,True,1972-08-05,53,0.08,3201.1200000000003
31274825R,Clara,García Martínez,Espanya,Sevilla,2,9,1986,Dona,2396,No,Grup D,Clara García Martínez,True,1986-09-02,39,0.08,2587.6800000000003
19356603P,Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2683,No,Grup D,Marta Castells,True,2003-10-02,22,0.08,2897.6400000000003
19313369G,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3014,No,Grup D,Florencia Rodríguez Álvarez,False,1999-11-27,26,0.08,3255.1200000000003
26634596X,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,2778,No,Grup D,Laura Schneider Müller,False,1990-11-28,35,0.08,3000.2400000000002
53672811D,Carla,Sánchez,Espanya,València,6,3,1957,Dona,2951,Si,Grup D,Carla Sánchez,True,1957-03-06,68,0.08,3187.0800000000004
30289780L,Clara,López,Espanya,València,17,2,1951,Dona,2917,Si,Grup D,Clara López,True,1951-02-17,74,0.08,3150.36
67448348B,Pau,García Romero,Espanya,Madrid,27,12,1983,Home,2821,No,Grup D,Pau García Romero,True,1983-12-27,42,0.08,3046.6800000000003
46470158A,Arnau,Romero,Espanya,Bilbao,26,6,1951,Home,3329,Si,Grup D,Arnau Romero,True,1951-06-26,74,0.08,3595.32
68247465J,Joan,Martínez Romero,Espanya,Sevilla,4,7,1971,Home,2975,No,Grup D,Joan Martínez Romero,True,1971-07-04,54,0.08,3213.0
26689120S,Clara,Romero,Espanya,València,4,1,1974,Dona,3021,Si,Grup D,Clara Romero,True,1974-01-04,52,0.08,3262.6800000000003
29203160E,Arnau,López Martínez,Espanya,València,24,1,1970,Home,3253,Si,Grup D,Arnau López Martínez,True,1970-01-24,56,0.08,3513.2400000000002
44060014R,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2754,Si,Grup D,Jonas Schneider,False,1985-11-22,40,0.08,2974.32
12868239Z,Toni,López,Espanya,Sevilla,10,3,1989,Home,2882,No,Grup D,Toni López,True,1989-03-10,36,0.08,3112.5600000000004
